food_id,food_name,food_name_clean,calories_100g,protein_100g,fat_100g,carbohydrate_100g,image_url,source,zero_calorie_flag,calorie_inconsistent_flag,calorie_macro_diff,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,confidence,allergen_sources,label_sources,allergen_match_count,merge_status
FD0001,abon,abon,280.0,9.2,28.4,0.0,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,indonesian_food_nutrition_dataset,0,0,-12.4,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0002,abon haruwan,abon haruwan,513.0,23.7,37.0,21.3,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg,indonesian_food_nutrition_dataset,0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0003,agar-agar,agar-agar,0.0,0.0,0.2,0.0,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,indonesian_food_nutrition_dataset,1,0,-1.8,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0004,akar tonjong segar,akar tonjong segar,45.0,1.1,0.4,10.8,https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg,indonesian_food_nutrition_dataset,0,0,-6.2,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0005,aletoge segar,aletoge segar,37.0,4.4,0.5,3.8,https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg,indonesian_food_nutrition_dataset,0,0,-0.3,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0006,alpukat segar,alpukat segar,85.0,0.9,6.5,7.7,https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg,indonesian_food_nutrition_dataset,0,0,-7.9,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0007,ampas kacang hijau,ampas kacang hijau,96.0,3.7,0.6,19.1,https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg,indonesian_food_nutrition_dataset,0,0,-0.6,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0008,ampas tahu,ampas tahu,414.0,26.6,18.3,41.3,https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg,indonesian_food_nutrition_dataset,0,0,-22.3,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0009,ampas tahu kukus,ampas tahu kukus,75.0,4.1,2.1,10.7,https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg,indonesian_food_nutrition_dataset,0,0,-3.1,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
FD0010,ampas tahu mentah,ampas tahu mentah,67.0,5.0,2.1,8.1,https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg,indonesian_food_nutrition_dataset,0,0,-4.3,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched
