food_id,food_name,changes,pairing_group,pairing_role,is_recommendable_food,exclusion_reason
FD0001,abon,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0002,abon haruwan,main_ingredient:other->ikan; suitable_breakfast:False->True,traditional_protein,protein,True,
FD0003,agar-agar,is_recommendable_food:True->False; suitable_breakfast:True->False; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,False,zero_or_invalid_calorie
FD0006,alpukat segar,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0015,andewi,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0016,anggur hutan segar,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0017,angsa,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0018,anyang sayur,main_ingredient:other->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0019,apel,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0020,apel malang segar,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0021,arbei,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0022,ares sayur,main_ingredient:other->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0024,arwan sirsir,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0029,asinan bogor sayuran,main_ingredient:other->sayuran; food_category:lainnya->sayuran; recommendation_item_type:menu->vegetable; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0030,ayam,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0031,ayam goreng kentuckysayap,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0032,ayam ampela goreng,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0034,ayam goreng church texa sayap,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0035,ayam goreng church texas dada,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0036,ayam goreng kalasan paha,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0037,ayam goreng kentucky dada,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0038,ayam goreng kentucky paha,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0039,ayam goreng mbok berek dada,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0040,ayam goreng paha,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0041,ayam goreng pasundan dada,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0042,ayam goreng pasundan paha,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0043,ayam goreng pioneer dada,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0044,ayam goreng sukabumi dada,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0045,ayam goreng sukabumi paha,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0047,ayam taliwang masakan,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0048,ayam usus goreng,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0049,babat,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0054,babi hutan masak rica masakan,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0055,bacang,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0056,bagea kelapa asin,food_category:buah->snack_dessert; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0057,bagea kelapa manis,food_category:buah->snack_dessert; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0058,bagea kenari asin,food_category:lainnya->snack_dessert; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0059,bagea kenari manis,food_category:lainnya->snack_dessert; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0060,bagea kw 1,food_category:lainnya->snack_dessert; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0061,bagea kw 2,food_category:lainnya->snack_dessert; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0062,baje,suitable_lunch:True->False; suitable_dinner:True->False,savory_snack,snack,True,
FD0063,bakpia kue,suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0064,bakso,suitable_breakfast:False->True,complete_menu,complete,True,
FD0066,bakwan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0067,baligo,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0068,bantal,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0069,barongko,suitable_lunch:True->False; suitable_dinner:True->False,savory_snack,snack,True,
FD0070,batang tading,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0071,batar daan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0073,batatas kelapa ubi bakar,main_ingredient:other->singkong; food_category:buah->karbohidrat_pokok,savory_staple,staple,True,
FD0074,batatas kelapa ubi kukus,main_ingredient:other->singkong; food_category:buah->karbohidrat_pokok,savory_staple,staple,True,
FD0075,batatas kelapa ubi segar,main_ingredient:other->singkong; food_category:buah->karbohidrat_pokok; recommendation_item_type:fruit->staple; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_breakfast:True->False; suitable_lunch:True->False; suitable_dinner:True->False,savory_staple,staple,False,raw_item_requires_preparation
FD0076,batatas tali ubi rebus,main_ingredient:other->singkong,savory_staple,staple,True,
FD0080,bayam kukus,main_ingredient:ayam->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0081,bayam merah,main_ingredient:ayam->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
