food_id,food_name,food_name_clean,calories_100g,protein_100g,fat_100g,carbohydrate_100g,image_url,source,zero_calorie_flag,calorie_inconsistent_flag,calorie_macro_diff,cooking_category,main_ingredient,meal_time,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,confidence,allergen_sources,label_sources,allergen_match_count,merge_status,food_category,food_category_source,base_ingredient,base_ingredient_tags,recipe_reference_match,recipe_reference_source,recipe_reference_title,recipe_ingredients_reference,suitable_breakfast,suitable_lunch,suitable_dinner,meal_time_tags,primary_meal_time,feature_rule_version,context_correction_notes,menu_reference_match,menu_reference_source,menu_reference_title,menu_reference_category,menu_reference_meal_time,ingredient_only_flag,raw_ingredient_flag,is_recommendable_food,recommendation_item_type,recommendation_confidence,recommendation_exclusion_reason,halal_status,is_halal_candidate,contains_non_halal_ingredient,non_halal_ingredient_tags,halal_review_reason,halal_confidence,halal_rule_version,menu_ready_rule_version,pairing_group,pairing_role,pairing_notes,pairing_suitability_notes,cleaning_action,cleaning_reason,meal_template_role,meal_combo_valid,image_url_status,image_url_source,image_url_rule_version
FD0001,abon,abon,280.0,9.2,28.4,0.0,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,indonesian_food_nutrition_dataset,0,0,-12.4,olahan,sapi,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,keyword,sapi,sapi,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,traditional_protein,protein,traditional_protein_for_rice_noodle,main_meal_component,keep,,protein,True,ok,original,google_image_refresh_v1
FD0002,abon haruwan,abon haruwan,513.0,23.7,37.0,21.3,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg,indonesian_food_nutrition_dataset,0,0,0.0,olahan,ikan,"lunch,dinner",False,False,False,False,True,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,1,not_matched,lauk_hewani,keyword,sapi,sapi|ikan,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,traditional_protein,protein,traditional_protein_for_rice_noodle,main_meal_component,keep,,protein,True,ok,original,google_image_refresh_v1
FD0003,agar-agar,agar-agar,0.0,0.0,0.2,0.0,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,indonesian_food_nutrition_dataset,1,0,-1.8,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,snack_dessert,keyword,unknown,,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,snack,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,sweet_snack,sweet_snack,sweet_snack_needs_dairy_pairing,breakfast_or_light_meal_only,keep,,snack,False,ok,original,google_image_refresh_v1
FD0004,alpukat segar,alpukat segar,85.0,0.9,6.5,7.7,https://upload.wikimedia.org/wikipedia/commons/c/c9/Avocado_Hass_-_single_and_halved.jpg,indonesian_food_nutrition_dataset,0,0,-7.9,mentah_segar,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,keyword,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0005,anggur hutan segar,anggur hutan segar,30.0,0.5,0.2,6.8,https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9,indonesian_food_nutrition_dataset,0,0,-1.0,mentah_segar,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,keyword,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0006,anyang sayur,anyang sayur,126.0,3.4,7.9,10.3,https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg,indonesian_food_nutrition_dataset,0,0,0.1,other,sayuran,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,sayuran,keyword,sayuran,sayuran,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,vegetable_keyword,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,cooked_or_ready_vegetable,vegetable,traditional_vegetable_pairing,main_meal_component,keep,,vegetable,True,ok,original,google_image_refresh_v1
FD0007,apel,apel,58.0,0.3,0.4,14.9,https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg,indonesian_food_nutrition_dataset,0,0,-6.4,other,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,keyword,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0008,apel malang segar,apel malang segar,57.0,0.5,0.4,12.8,https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg,indonesian_food_nutrition_dataset,0,0,0.2,mentah_segar,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,keyword,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0009,arbei,arbei,37.0,0.8,0.5,8.3,https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg,indonesian_food_nutrition_dataset,0,0,-3.9,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,fallback,buah,,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0010,ares sayur,ares sayur,113.0,0.9,7.2,11.2,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,other,sayuran,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,sayuran,keyword,sayuran,sayuran,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,vegetable_keyword,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,cooked_or_ready_vegetable,vegetable,traditional_vegetable_pairing,main_meal_component,keep,,vegetable,True,ok,original,google_image_refresh_v1
