hari_ke,hari,tanggal,sesi,opsi,makanan,porsi_gram,protein_g,lemak_g,karbo_g,match_score_%
1,Jumat,2026-06-05,Sarapan Pagi (25%),1,Kacang Mete Goreng,71.5,15.4,40.5,14.2,93.76
1,Jumat,2026-06-05,Sarapan Pagi (25%),2,Ikan Asin Pepetek Goreng,69.0,27.9,37.5,0.0,93.65
1,Jumat,2026-06-05,Makan Siang (40%),1,Ikan Asin Pepetek Goreng,110.4,44.6,60.0,0.0,94.67
1,Jumat,2026-06-05,Makan Siang (40%),2,Dendeng Mujair Goreng,120.4,89.5,32.4,11.1,94.0
1,Jumat,2026-06-05,Makan Malam (35%),1,Dendeng Mujair Goreng,105.4,78.3,28.3,9.7,93.72
1,Jumat,2026-06-05,Makan Malam (35%),2,Dendeng Ikan Mujair Goreng,105.4,78.3,28.3,9.7,93.72
2,Sabtu,2026-06-06,Sarapan Pagi (25%),1,Dendeng Ikan Mujair Goreng,75.3,55.9,20.2,6.9,93.05
2,Sabtu,2026-06-06,Sarapan Pagi (25%),2,Noga Kacang Tanah,75.0,10.5,31.3,31.5,93.03
2,Sabtu,2026-06-06,Makan Siang (40%),1,Kacang Tanah Goreng,127.7,32.6,56.7,32.6,93.06
2,Sabtu,2026-06-06,Makan Siang (40%),2,Empal Goreng Sapi,122.0,22.6,69.6,0.0,92.92
2,Sabtu,2026-06-06,Makan Malam (35%),1,Empal Goreng Sapi,106.8,19.8,60.9,0.0,92.56
2,Sabtu,2026-06-06,Makan Malam (35%),2,Kripik Tempe Goreng,116.2,46.8,49.3,13.4,92.0
3,Minggu,2026-06-07,Sarapan Pagi (25%),1,Noga Kacang Tanah,75.0,10.5,31.3,31.5,93.03
3,Minggu,2026-06-07,Sarapan Pagi (25%),2,Kue Kelapa,76.1,4.3,32.1,36.2,92.89
3,Minggu,2026-06-07,Makan Siang (40%),1,Kripik Tempe Goreng,132.8,53.5,56.3,15.3,92.32
3,Minggu,2026-06-07,Makan Siang (40%),2,Kacang Sukro Putih,147.5,37.8,37.8,87.9,91.8
3,Minggu,2026-06-07,Makan Malam (35%),1,Kacang Sukro Putih,129.1,33.0,33.0,76.9,91.6
3,Minggu,2026-06-07,Makan Malam (35%),2,Kacang Kedelai Goreng,120.9,38.9,45.6,27.7,91.38
4,Senin,2026-06-08,Sarapan Pagi (25%),1,Kue Kelapa,76.1,4.3,32.1,36.2,92.89
4,Senin,2026-06-08,Sarapan Pagi (25%),2,Kacang Mete,80.1,17.0,39.7,18.9,92.25
4,Senin,2026-06-08,Makan Siang (40%),1,Kacang Kedelai Goreng,138.2,44.5,52.1,31.6,91.67
4,Senin,2026-06-08,Makan Siang (40%),2,Kacang Tanah Rempeyek,140.4,24.6,45.6,62.2,91.62
4,Senin,2026-06-08,Makan Malam (35%),1,Kacang Tanah Rempeyek,122.8,21.5,39.9,54.4,91.38
4,Senin,2026-06-08,Makan Malam (35%),2,Kemplang Goreng,125.0,7.0,35.1,71.4,90.97
5,Selasa,2026-06-09,Sarapan Pagi (25%),1,Kacang Mete,80.1,17.0,39.7,18.9,92.25
5,Selasa,2026-06-09,Sarapan Pagi (25%),2,Enting-Enting Gepuk Kacang Tanah,85.9,11.4,25.1,44.7,91.02
5,Selasa,2026-06-09,Makan Siang (40%),1,Kemplang Goreng,142.9,8.0,40.1,81.6,91.18
5,Selasa,2026-06-09,Makan Siang (40%),2,Rempeyek Kacang Uci,144.9,24.6,40.0,73.6,91.14
5,Selasa,2026-06-09,Makan Malam (35%),1,Rempeyek Kacang Uci,126.8,21.5,35.0,64.4,90.92
5,Selasa,2026-06-09,Makan Malam (35%),2,Kacang Sukro,130.2,11.5,34.0,75.1,90.49
6,Rabu,2026-06-10,Sarapan Pagi (25%),1,Enting-Enting Gepuk Kacang Tanah,85.9,11.4,25.1,44.7,91.02
6,Rabu,2026-06-10,Sarapan Pagi (25%),2,Mie Goreng,96.2,7.3,19.6,60.0,89.21
6,Rabu,2026-06-10,Makan Siang (40%),1,Kacang Sukro,148.8,13.1,38.8,85.8,90.7
6,Rabu,2026-06-10,Makan Siang (40%),2,Kacang Bogor Goreng,150.3,19.1,34.9,88.5,90.54
6,Rabu,2026-06-10,Makan Malam (35%),1,Kacang Bogor Goreng,131.5,16.7,30.5,77.5,90.35
6,Rabu,2026-06-10,Makan Malam (35%),2,Kecimpring Singkong Goreng,135.8,1.6,25.3,99.1,89.85
7,Kamis,2026-06-11,Sarapan Pagi (25%),1,Mie Goreng,96.2,7.3,19.6,60.0,89.21
7,Kamis,2026-06-11,Sarapan Pagi (25%),2,Bagea Kelapa Manis,99.6,1.3,13.7,80.2,89.19
7,Kamis,2026-06-11,Makan Siang (40%),1,Kecimpring Singkong Goreng,155.2,1.9,28.9,113.3,90.0
7,Kamis,2026-06-11,Makan Siang (40%),2,Ceriping Getuk Singkong,155.8,1.9,32.3,105.5,89.79
7,Kamis,2026-06-11,Makan Malam (35%),1,Ceriping Getuk Singkong,136.4,1.6,28.2,92.3,89.62
7,Kamis,2026-06-11,Makan Malam (35%),2,Kacang Tunggak Rempeyek,139.7,15.6,28.2,83.4,89.22
